pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
26,104,easy,wrong_table,True,SELECT AVG(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
27,105,easy,wrong_table,True,SELECT AVG(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
28,123,easy,other,True,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel,SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,easy,other,True,SELECT Title FROM program ORDER BY Start_Year DESC,SELECT title FROM program ORDER BY start_year DESC
30,133,easy,other,True,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT name FROM director WHERE age BETWEEN 30 AND 60
31,136,easy,other,True,SELECT count(*) FROM radio,SELECT count(*) FROM radio
32,137,easy,wrong_column,True,SELECT radio.Transmitter FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY radio.ERP_kW ASC,select transmitter from radio order by erp_kw asc
33,139,easy,other,True,SELECT Station_name FROM city_channel WHERE Affiliation != 'ABC',"SELECT Station_name FROM city_channel WHERE Affiliation != ""ABC"""
34,142,easy,exec_runtime_error,False,SELECT AVG(CAST(2FM_MHz AS REAL)) FROM radio WHERE 2FM_MHz IS NOT NULL AND 2FM_MHz NOT LIKE '%[A-Za-z]%' AND CAST(2FM_MHz AS REAL) IS NOT NULL,SELECT avg(ERP_kW) FROM radio
35,145,easy,extra_clause,True,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(DISTINCT ID) > 3,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(*)  >  3
36,153,easy,other,True,SELECT driver.Name FROM driver WHERE driver.Citizenship = 'United States',SELECT name FROM driver WHERE citizenship  =  'United States'
37,154,easy,wrong_column,True,SELECT vehicle.Model FROM vehicle JOIN vehicle_driver ON vehicle.Vehicle_ID = vehicle_driver.Vehicle_ID JOIN driver ON vehicle_driver.Driver_ID = driver.Driver_ID WHERE driver.Citizenship = 'United St,SELECT name FROM driver WHERE citizenship  =  'United States'
38,167,easy,extra_clause,True,SELECT COUNT(DISTINCT vehicle_driver.Vehicle_ID) FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Racing_Series = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
39,168,easy,extra_clause,True,SELECT COUNT(DISTINCT vehicle_driver.Vehicle_ID) FROM vehicle_driver JOIN driver ON vehicle_driver.Driver_ID = driver.Driver_ID WHERE driver.Racing_Series = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
40,169,easy,other,True,SELECT AVG(Top_Speed) FROM vehicle,SELECT avg(top_speed) FROM vehicle
41,170,easy,other,True,SELECT AVG(Top_Speed) FROM vehicle,SELECT avg(top_speed) FROM vehicle
42,185,easy,other,True,SELECT Name FROM driver ORDER BY Name ASC,SELECT name FROM driver ORDER BY name
43,186,easy,wrong_column,True,SELECT driver.Racing_Series FROM driver ORDER BY driver.Racing_Series ASC,SELECT name FROM driver ORDER BY name
44,193,easy,other,True,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
45,194,easy,other,True,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
46,195,easy,other,True,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,select distinct subject_code from exams order by subject_code asc
47,196,easy,other,True,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code
48,203,easy,wrong_column,True,"SELECT DISTINCT Student_Answers.Student_Answer_Text FROM Student_Answers WHERE Student_Answers.Student_Answer_Text = ""Normal""","SELECT DISTINCT Student_Answer_Text FROM Student_Answers WHERE Comments  =  ""Normal"""
49,204,easy,wrong_column,True,SELECT DISTINCT Student_Answers.Student_Answer_Text FROM Student_Answers JOIN Student_Assessments ON Student_Answers.Student_ID = Student_Assessments.Student_Answer_ID WHERE Student_Assessments.Satisf,"SELECT DISTINCT Student_Answer_Text FROM Student_Answers WHERE Comments  =  ""Normal"""
50,205,easy,other,True,SELECT COUNT(DISTINCT Comments) FROM Student_Answers,SELECT count(DISTINCT Comments) FROM Student_Answers
51,206,easy,other,True,SELECT COUNT(DISTINCT Comments) FROM Student_Answers,SELECT count(DISTINCT Comments) FROM Student_Answers
52,219,easy,other,True,"SELECT Last_Name FROM Students WHERE Gender_MFU != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
53,220,easy,other,True,"SELECT Last_Name FROM Students WHERE Gender_MFU != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
54,229,easy,wrong_column,True,SELECT Questions.Type_of_Question_Code FROM Questions JOIN Questions_in_Exams ON Questions.Question_ID = Questions_in_Exams.Question_ID GROUP BY Questions.Type_of_Question_Code HAVING COUNT(*) >= 3,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING count(*)  >=  3
55,230,easy,wrong_column,True,SELECT Question_Text FROM Questions JOIN Questions_in_Exams ON Questions.Question_ID = Questions_in_Exams.Question_ID GROUP BY Question_Text HAVING COUNT(*) >= 3,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING count(*)  >=  3
56,231,easy,other,True,SELECT * FROM Students,SELECT * FROM Students
57,232,easy,wrong_column,True,"SELECT Students.Student_ID, Students.First_Name, Students.Middle_Name, Students.Last_Name, Students.Gender_MFU, Students.Student_Address FROM Students",SELECT * FROM Students
58,233,easy,wrong_column,True,SELECT COUNT(address_id) FROM Addresses,SELECT count(*) FROM Addresses
59,234,easy,wrong_column,True,SELECT count(address_id) FROM Addresses,SELECT count(*) FROM Addresses
60,237,easy,wrong_column,True,SELECT COUNT(product_name) FROM Products,SELECT count(*) FROM Products
61,238,easy,extra_clause,True,SELECT COUNT(DISTINCT product_name) FROM Products,SELECT count(*) FROM Products
62,241,easy,other,True,SELECT product_price FROM Products WHERE product_name = 'Monitor',"SELECT product_price FROM Products WHERE product_name  =  ""Monitor"""
63,242,easy,other,True,SELECT product_price FROM Products WHERE product_name = 'Monitor',"SELECT product_price FROM Products WHERE product_name  =  ""Monitor"""
64,245,easy,other,True,"SELECT avg(product_price) FROM Products WHERE product_type_code = ""Clothes""","SELECT avg(product_price) FROM Products WHERE product_type_code  =  ""Clothes"""
65,246,easy,wrong_column,True,SELECT AVG(product_price) FROM Products WHERE product_name = 'Clothes',"SELECT avg(product_price) FROM Products WHERE product_type_code  =  ""Clothes"""
66,247,easy,other,True,"SELECT COUNT(*) FROM Products WHERE product_type_code = ""hardware""","SELECT count(*) FROM Products WHERE product_type_code  =  ""Hardware"""
67,248,easy,other,True,SELECT COUNT(*) FROM Products WHERE product_type_code = 'Hardware',"SELECT count(*) FROM Products WHERE product_type_code  =  ""Hardware"""
68,257,easy,other,True,SELECT product_name FROM Products ORDER BY product_price DESC,SELECT product_name FROM Products ORDER BY product_price DESC
69,258,easy,other,True,SELECT product_name FROM Products ORDER BY product_price DESC,SELECT product_name FROM Products ORDER BY product_price DESC
70,265,easy,wrong_column,True,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(product_name) >= 2,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(*)  >=  2
71,266,easy,other,True,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING COUNT(*) >= 2,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(*)  >=  2
72,269,easy,wrong_column,True,SELECT COUNT(customer_phone) FROM Customers,SELECT count(*) FROM Customers
73,270,easy,wrong_column,True,SELECT COUNT(customer_phone) FROM Customers,SELECT count(*) FROM Customers
74,283,easy,other,True,SELECT DISTINCT payment_method_code FROM Customers,SELECT DISTINCT payment_method_code FROM Customers
75,284,easy,other,True,SELECT DISTINCT payment_method_code FROM Customers,SELECT DISTINCT payment_method_code FROM Customers
76,289,easy,wrong_column,True,SELECT COUNT(order_id) FROM Customer_Orders,SELECT count(*) FROM Customer_orders
77,290,easy,other,True,SELECT COUNT(*) FROM Customer_Orders,SELECT count(*) FROM Customer_orders
78,309,easy,other,True,SELECT COUNT(DISTINCT Customer_Orders.customer_id) FROM Customer_Orders,SELECT count(DISTINCT customer_id) FROM Customer_orders
79,310,easy,wrong_column,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order,SELECT count(DISTINCT customer_id) FROM Customer_orders
80,4,medium,other,True,"SELECT Manager, Captain FROM club","SELECT Manager ,  Captain FROM club"
81,5,medium,other,True,"SELECT club.Manager, club.Captain FROM club","SELECT Manager ,  Captain FROM club"
82,10,medium,other,True,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
83,11,medium,other,True,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
84,16,medium,wrong_column,True,"SELECT player.Name, club.Name FROM player JOIN club ON player.Club_ID = club.Club_ID","SELECT T2.Name ,  T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID"
85,17,medium,wrong_column,True,"SELECT player.Name, club.Name FROM player JOIN club ON player.Club_ID = club.Club_ID","SELECT T2.Name ,  T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID"
86,18,medium,extra_clause,True,"SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Wins_count > 2 GROUP BY club.Club_ID, club.Name",SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Wins_count  >  2
87,19,medium,extra_clause,True,"SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Wins_count > 2 GROUP BY club.Club_ID, club.Name",SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Wins_count  >  2
88,20,medium,wrong_column,True,"SELECT player.Earnings FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manager = ""Sam Allardyce""","SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce"""
89,21,medium,wrong_column,True,"SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Captain = ""Sam Allardyce""","SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce"""
90,24,medium,wrong_column,True,"SELECT Manufacturer, COUNT(Club_ID) FROM club GROUP BY Manufacturer","SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer"
91,25,medium,wrong_column,True,"SELECT Manufacturer, COUNT(Club_ID) FROM club GROUP BY Manufacturer","SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer"
92,38,medium,wrong_column,True,"SELECT Earnings FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Name = ""Australia"" OR club.Name = ""Zimbabwe""","SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""
93,39,medium,wrong_column,True,"SELECT Earnings FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manager IN ('Australia', 'Zimbabwe')","SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""
94,42,medium,wrong_column,True,"SELECT Orders.order_id, Orders.order_status_code, COUNT(Order_Items.order_item_id) FROM Orders JOIN Order_Items ON Orders.order_id = Order_Items.order_id GROUP BY Orders.order_id, Orders.order_status_","SELECT T1.order_id ,  T1.order_status_code ,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id"
95,43,medium,wrong_column,True,"SELECT Orders.order_id, COUNT(Order_Items.product_id) as product_count, Orders.order_status_code, Orders.order_id FROM Orders LEFT JOIN Order_Items ON Orders.order_id = Order_Items.order_id GROUP BY O","SELECT T1.order_id ,  T1.order_status_code ,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id"
96,50,medium,wrong_column,True,"SELECT Orders.order_id, Orders.date_order_placed FROM Orders JOIN Order_Items ON Orders.order_id = Order_Items.order_id GROUP BY Orders.order_id, Orders.date_order_placed HAVING COUNT(Order_Items.prod","SELECT T1.order_id ,  T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2"
97,51,medium,extra_clause,True,"SELECT Orders.order_id, Orders.date_order_placed FROM Orders JOIN Order_Items ON Orders.order_id = Order_Items.order_id GROUP BY Orders.order_id, Orders.date_order_placed HAVING COUNT(DISTINCT Order_I","SELECT T1.order_id ,  T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2"
98,60,medium,wrong_column,True,"SELECT Customers.gender_code, COUNT(Orders.order_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id GROUP BY Customers.gender_code","SELECT T1.gender_code ,  count(*) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.gender_code"
99,61,medium,wrong_table,True,"SELECT Order_Items.order_item_status_code, COUNT(Orders.order_id) FROM Orders JOIN Order_Items ON Orders.order_id = Order_Items.order_id GROUP BY Order_Items.order_item_status_code","SELECT T1.gender_code ,  count(*) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.gender_code"
100,62,medium,wrong_column,True,"SELECT Customers.customer_first_name, Customers.customer_middle_initial, Customers.login_name, Customer_Payment_Methods.payment_method_code FROM Customers JOIN Customer_Payment_Methods ON Customers.cu","SELECT T1.customer_first_name ,  T1.customer_middle_initial ,  T1.customer_last_name ,  T2.Payment_method_code FROM Customers AS T1 JOIN Customer_Payment_Methods AS T2 ON T1.customer_id  =  T2.custome"
101,63,medium,wrong_column,True,"SELECT Customers.customer_first_name, Customers.customer_middle_initial, Customers.customer_last_name, Customer_Payment_Methods.payment_method_code FROM Customers JOIN Customer_Payment_Methods ON Cust","SELECT T1.customer_first_name ,  T1.customer_middle_initial ,  T1.customer_last_name ,  T2.Payment_method_code FROM Customers AS T1 JOIN Customer_Payment_Methods AS T2 ON T1.customer_id  =  T2.custome"
102,64,medium,wrong_column,True,"SELECT Invoices.invoice_status_code, Invoices.invoice_date, Shipments.shipment_date FROM Invoices JOIN Shipments ON Invoices.invoice_number = Shipments.invoice_number","SELECT T1.invoice_status_code ,  T1.invoice_date ,  T2.shipment_date FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number"
103,65,medium,wrong_column,True,"SELECT Orders.order_status_code, Invoices.invoice_date, Shipments.shipment_date FROM Invoices JOIN Shipments ON Invoices.invoice_number = Shipments.invoice_number JOIN Orders ON Shipments.order_id = O","SELECT T1.invoice_status_code ,  T1.invoice_date ,  T2.shipment_date FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number"
104,68,medium,wrong_table,True,"SELECT Orders.order_status_code, Shipments.shipment_tracking_number FROM Orders JOIN Shipments ON Orders.order_id = Shipments.order_id","SELECT T1.order_item_status_code ,  T3.shipment_tracking_number FROM Order_items AS T1 JOIN Shipment_Items AS T2 ON T1.order_item_id  =  T2.order_item_id JOIN Shipments AS T3 ON T2.shipment_id  =  T3."
105,69,medium,wrong_table,True,"SELECT Orders.order_status_code, Shipments.shipment_tracking_number FROM Orders JOIN Shipments ON Orders.order_id = Shipments.order_id","SELECT T1.order_item_status_code ,  T3.shipment_tracking_number FROM Order_items AS T1 JOIN Shipment_Items AS T2 ON T1.order_item_id  =  T2.order_item_id JOIN Shipments AS T3 ON T2.shipment_id  =  T3."
106,84,medium,other,True,"SELECT login_name, login_password FROM Customers WHERE phone_number LIKE '+12%'","SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'"
107,85,medium,wrong_column,True,"SELECT customer_middle_initial, login_password FROM Customers WHERE phone_number LIKE '+12%'","SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'"
108,86,medium,other,True,SELECT product_size FROM Products WHERE product_name LIKE '%Dell%',SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
109,87,medium,other,True,SELECT product_size FROM Products WHERE product_name LIKE '%Dell%',SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
110,94,medium,other,True,"SELECT order_status_code, date_order_placed FROM Orders","SELECT order_status_code ,  date_order_placed FROM Orders"
111,95,medium,other,True,"SELECT Orders.order_status_code, Orders.date_order_placed FROM Orders","SELECT order_status_code ,  date_order_placed FROM Orders"
112,96,medium,wrong_column,True,"SELECT address_line_1, town_city, county FROM Customers WHERE county = ""USA""","SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'"
113,97,medium,wrong_column,True,"SELECT address_line_1, town_city, county FROM Customers WHERE email_address = 'United States'","SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'"
114,112,medium,wrong_table,True,"SELECT Products.product_id, Products.product_description FROM Products WHERE Products.product_name > 3","SELECT T1.product_id ,  T1.product_description FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id HAVING count(*)  >  3"
115,113,medium,wrong_column,True,"SELECT Products.product_id, Products.product_description FROM Products JOIN Order_Items ON Products.product_id = Order_Items.product_id GROUP BY Products.product_id, Products.product_description HAVIN","SELECT T1.product_id ,  T1.product_description FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id HAVING count(*)  >  3"
116,114,medium,wrong_column,True,"SELECT Invoices.invoice_date, Invoices.invoice_number FROM Invoices JOIN Shipments ON Invoices.invoice_number = Shipments.invoice_number GROUP BY Invoices.invoice_number HAVING COUNT(Shipments.shipmen","SELECT T1.invoice_date ,  T1.invoice_number FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number GROUP BY T1.invoice_number HAVING count(*)  >=  2"
117,115,medium,wrong_column,True,"SELECT Invoices.invoice_number, Invoices.invoice_date FROM Invoices JOIN Shipments ON Invoices.invoice_number = Shipments.invoice_number GROUP BY Invoices.invoice_number HAVING COUNT(Shipments.shipmen","SELECT T1.invoice_date ,  T1.invoice_number FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number GROUP BY T1.invoice_number HAVING count(*)  >=  2"
118,116,medium,other,True,"SELECT shipment_tracking_number, shipment_date FROM Shipments","SELECT shipment_tracking_number ,  shipment_date FROM Shipments"
119,117,medium,other,True,"SELECT shipment_tracking_number, shipment_date FROM Shipments","SELECT shipment_tracking_number ,  shipment_date FROM Shipments"
120,121,medium,other,True,SELECT Name FROM director ORDER BY Age DESC LIMIT 1,SELECT name FROM director ORDER BY age DESC LIMIT 1
121,122,medium,other,True,SELECT count(*) FROM channel WHERE Internet LIKE '%bbc%',"SELECT count(*) FROM channel WHERE internet LIKE ""%bbc%"""
122,127,medium,wrong_column,True,SELECT program.Title FROM program ORDER BY program.Program_ID DESC LIMIT 1,SELECT title FROM program ORDER BY start_year DESC LIMIT 1
123,128,medium,wrong_column,True,"SELECT channel.Internet, channel.Digital_terrestrial_channel FROM channel JOIN program ON channel.Channel_ID = program.Channel_ID GROUP BY channel.Channel_ID HAVING COUNT(program.Program_ID) > 1","SELECT t1.name ,  t1.internet FROM channel AS t1 JOIN program AS t2 ON t1.channel_id  =  t2.channel_id GROUP BY t1.channel_id HAVING count(*)  >  1"
124,129,medium,wrong_column,True,"SELECT channel.Internet, COUNT(program.Program_ID) FROM channel JOIN program ON channel.Channel_ID = program.Channel_ID GROUP BY channel.Channel_ID, channel.Internet","SELECT t1.name ,  count(*) FROM channel AS t1 JOIN program AS t2 ON t1.channel_id  =  t2.channel_id GROUP BY t1.channel_id"
125,131,medium,wrong_column,True,SELECT director.Name FROM director JOIN program ON director.Director_ID = program.Director_ID WHERE program.Title = 'Dracula',SELECT t2.name FROM program AS t1 JOIN director AS t2 ON t1.director_id  =  t2.director_id WHERE t1.title  =  'Dracula'
126,138,medium,other,True,"SELECT tv_show_name, Original_Airdate FROM tv_show","SELECT tv_show_name ,  Original_Airdate FROM tv_show"
127,140,medium,other,True,SELECT radio.Transmitter FROM radio WHERE radio.ERP_kW > 150 OR radio.ERP_kW < 30,SELECT Transmitter FROM radio WHERE ERP_kW  >  150 OR ERP_kW  <  30
128,141,medium,missing_clause,True,SELECT Transmitter FROM radio WHERE ERP_kW = (SELECT MAX(ERP_kW) FROM radio),SELECT Transmitter FROM radio ORDER BY ERP_kW DESC LIMIT 1
129,143,medium,other,True,"SELECT Affiliation, COUNT(*) FROM city_channel GROUP BY Affiliation","SELECT Affiliation ,  COUNT(*) FROM city_channel GROUP BY Affiliation"
130,146,medium,other,True,"SELECT City, Station_name FROM city_channel ORDER BY Station_name ASC","SELECT City ,  Station_name FROM city_channel ORDER BY Station_name ASC"
131,147,medium,wrong_column,True,"SELECT Transmitter, City FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID JOIN city_channel ON city_channel_radio.City_channel_ID = city_channel.ID","SELECT T3.Transmitter ,  T2.City FROM city_channel_radio AS T1 JOIN city_channel AS T2 ON T1.City_channel_ID  =  T2.ID JOIN radio AS T3 ON T1.Radio_ID  =  T3.Radio_ID"
132,149,medium,wrong_column,True,"SELECT radio.Transmitter, COUNT(city_channel.ID) AS number_of_city_channels FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID JOIN city_channel ON city_channel_radio.C","SELECT T2.Transmitter ,  COUNT(*) FROM city_channel_radio AS T1 JOIN radio AS T2 ON T1.Radio_ID  =  T2.Radio_ID GROUP BY T2.Transmitter"
133,157,medium,wrong_column,True,"SELECT MAX(Power), AVG(Power) FROM vehicle WHERE Model = 'Zhuzhou'","SELECT max(power) ,  avg(power) FROM vehicle WHERE builder  =  'Zhuzhou'"
134,158,medium,other,True,"SELECT MAX(Power), AVG(Power) FROM vehicle WHERE Builder = 'Zhuzhou'","SELECT max(power) ,  avg(power) FROM vehicle WHERE builder  =  'Zhuzhou'"
135,161,medium,other,True,"SELECT Top_Speed, Power FROM vehicle WHERE Build_Year = 1996","SELECT top_speed ,  power FROM vehicle WHERE build_year  =  1996"
136,162,medium,other,True,"SELECT Top_Speed, Power FROM vehicle WHERE Build_Year = 1996","SELECT top_speed ,  power FROM vehicle WHERE build_year  =  1996"
137,163,medium,wrong_column,True,"SELECT vehicle.Build_Year, vehicle.Model, driver.Name FROM vehicle JOIN vehicle_driver ON vehicle.Vehicle_ID = vehicle_driver.Vehicle_ID JOIN driver ON vehicle_driver.Driver_ID = driver.Driver_ID","SELECT build_year ,  model ,  builder FROM vehicle"
138,164,medium,wrong_column,True,"SELECT vehicle.Build_Year, vehicle.Model, driver.Name FROM vehicle JOIN vehicle_driver ON vehicle.Vehicle_ID = vehicle_driver.Vehicle_ID JOIN driver ON vehicle_driver.Driver_ID = driver.Driver_ID","SELECT build_year ,  model ,  builder FROM vehicle"
