source,artifact_relpath,baseline_kind,experiment_id,routing,retrieval,retrieval_easy_medium,retrieval_hard_extra,top_k_tables,top_n_columns,masking,mask_style,phrase_hints,prompt,model,cascade_hard_model,easy,medium,hard,extra,overall,exec_runtime_success,spider_parse_failure_rate,n_processed,total_cost_usd,wall_time_s,note,dr_variant,dr_pre_accuracy,dr_post_accuracy,dr_drop,dr_count,retrieval_run_id,retrieval_config_mode,ret_all_recall,ret_all_precision,ret_all_srr,ret_all_column_recall,ret_all_avg_tables,baseline_exec_accuracy,decomposition_exec_accuracy,decomposition_delta,rag_current_acc,rag_broader_acc,rag_full_schema_acc,eval_log_parse_errors,detail_json
federated,runs/masked-oracle/,,masked-oracle,oracle,hybrid,hybrid,hybrid,,,True,,,few_shot,llama3.1-8b,,0.237,0.037,0.163,0.075,0.128,0.95625,0.403125,320,0.0,702,,,,,,,,,,,,,,,,,,,,,
federated,runs/masked-oracle-hints-320/,,masked-oracle-hints-320,oracle,hybrid,hybrid,hybrid,,,True,hard,,few_shot,llama3.1-8b,,0.338,0.2,0.2,0.075,0.203,0.921875,0.428125,320,0.0,803,,,,,,,,,,,,,,,,,,,,,
federated,runs/masked-oracle-hints-40/,,masked-oracle-hints-40,oracle,hybrid,hybrid,hybrid,,,True,,,few_shot,llama3.1-8b,,0.5,0.1,0.3,0.0,0.225,0.95,0.05,40,0.0,150,,,,,,,,,,,,,,,,,,,,,
federated,runs/masked-oracle-nohints-40/,,masked-oracle-nohints-40,oracle,hybrid,hybrid,hybrid,,,True,,,few_shot,llama3.1-8b,,0.2,0.2,0.1,0.0,0.125,1.0,0.065625,40,0.0,131,,,,,,,,,,,,,,,,,,,,,
federated,runs/semantic-oracle-hints-320/,,semantic-oracle-hints-320,oracle,hybrid,hybrid,hybrid,,,True,semantic,,few_shot,llama3.1-8b,,0.3,0.212,0.225,0.075,0.203,0.825,0.478125,320,0.0,1029,,,,,,,,,,,,,,,,,,,,,
federated,runs/semantic-oracle-hints-40/,,semantic-oracle-hints-40,oracle,hybrid,hybrid,hybrid,,,True,semantic,,few_shot,llama3.1-8b,,0.6,0.3,0.3,0.0,0.3,0.85,0.06875,40,0.0,215,,,,,,,,,,,,,,,,,,,,,
federated,runs/semantic-oracle-nohints-320/,,semantic-oracle-nohints-320,oracle,hybrid,hybrid,hybrid,,,True,semantic,,few_shot,llama3.1-8b,,0.263,0.062,0.113,0.138,0.144,0.915625,0.396875,320,0.0,835,,,,,,,,,,,,,,,,,,,,,
federated,runs/semantic-oracle-nohints-40/,,semantic-oracle-nohints-40,oracle,hybrid,hybrid,hybrid,,,True,semantic,,few_shot,llama3.1-8b,,0.3,0.0,0.1,0.0,0.1,0.9,0.071875,40,0.0,135,,,,,,,,,,,,,,,,,,,,,
federated,runs/test_hints_40/,,test_hints_40,oracle,hybrid,hybrid,hybrid,,,True,,,few_shot,llama3.1-8b,,0.125,0.0,0.0,0.0,0.125,0.95,0.084375,40,0.0,100,,,,,,,,,,,,,,,,,,,,,
baseline_json,baseline/results/dr_spider_db_50.json,dr_spider_variant,dr_spider_db_50::DB_schema_synonym,,,,,,,,,,,,,,,,,,,,,,,,DB_schema_synonym,0.56,0.4,0.16000000000000003,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""DB_schema_synonym"",""count"":50,""pre_accuracy"":0.56,""post_accuracy"":0.4,""drop"":0.16000000000000003,""pre_correct"":28,""post_correct"":20}}"
baseline_json,baseline/results/dr_spider_db_50.json,dr_spider_variant,dr_spider_db_50::DB_schema_abbreviation,,,,,,,,,,,,,,,,,,,,,,,,DB_schema_abbreviation,0.56,0.5,0.06000000000000005,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""DB_schema_abbreviation"",""count"":50,""pre_accuracy"":0.56,""post_accuracy"":0.5,""drop"":0.06000000000000005,""pre_correct"":28,""post_correct"":25}}"
baseline_json,baseline/results/dr_spider_hybrid_50.json,dr_spider_variant,dr_spider_hybrid_50::NLQ_keyword_synonym,,,,,,,,,,,,,,,,,,,,,,,,NLQ_keyword_synonym,0.66,0.62,0.040000000000000036,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""NLQ_keyword_synonym"",""count"":50,""pre_accuracy"":0.66,""post_accuracy"":0.62,""drop"":0.040000000000000036,""pre_correct"":33,""post_correct"":31}}"
baseline_json,baseline/results/dr_spider_hybrid_50.json,dr_spider_variant,dr_spider_hybrid_50::NLQ_column_synonym,,,,,,,,,,,,,,,,,,,,,,,,NLQ_column_synonym,0.7,0.48,0.21999999999999997,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""NLQ_column_synonym"",""count"":50,""pre_accuracy"":0.7,""post_accuracy"":0.48,""drop"":0.21999999999999997,""pre_correct"":35,""post_correct"":24}}"
baseline_json,baseline/results/dr_spider_hybrid_50.json,dr_spider_variant,dr_spider_hybrid_50::NLQ_value_synonym,,,,,,,,,,,,,,,,,,,,,,,,NLQ_value_synonym,0.54,0.38,0.16000000000000003,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""NLQ_value_synonym"",""count"":50,""pre_accuracy"":0.54,""post_accuracy"":0.38,""drop"":0.16000000000000003,""pre_correct"":27,""post_correct"":19}}"
baseline_json,baseline/results/dr_spider_hybrid_50.json,dr_spider_variant,dr_spider_hybrid_50::DB_schema_synonym,,,,,,,,,,,,,,,,,,,,,,,,DB_schema_synonym,0.6,0.62,-0.020000000000000018,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""DB_schema_synonym"",""count"":50,""pre_accuracy"":0.6,""post_accuracy"":0.62,""drop"":-0.020000000000000018,""pre_correct"":30,""post_correct"":31}}"
baseline_json,baseline/results/dr_spider_hybrid_50.json,dr_spider_variant,dr_spider_hybrid_50::DB_schema_abbreviation,,,,,,,,,,,,,,,,,,,,,,,,DB_schema_abbreviation,0.66,0.62,0.040000000000000036,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""DB_schema_abbreviation"",""count"":50,""pre_accuracy"":0.66,""post_accuracy"":0.62,""drop"":0.040000000000000036,""pre_correct"":33,""post_correct"":31}}"
baseline_json,baseline/results/dr_spider_nlq_50.json,dr_spider_variant,dr_spider_nlq_50::NLQ_keyword_synonym,,,,,,,,,,,,,,,,,,,,,,,,NLQ_keyword_synonym,0.66,0.62,0.040000000000000036,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""NLQ_keyword_synonym"",""count"":50,""pre_accuracy"":0.66,""post_accuracy"":0.62,""drop"":0.040000000000000036,""pre_correct"":33,""post_correct"":31}}"
baseline_json,baseline/results/dr_spider_nlq_50.json,dr_spider_variant,dr_spider_nlq_50::NLQ_column_synonym,,,,,,,,,,,,,,,,,,,,,,,,NLQ_column_synonym,0.68,0.46,0.22000000000000003,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""NLQ_column_synonym"",""count"":50,""pre_accuracy"":0.68,""post_accuracy"":0.46,""drop"":0.22000000000000003,""pre_correct"":34,""post_correct"":23}}"
baseline_json,baseline/results/dr_spider_nlq_50.json,dr_spider_variant,dr_spider_nlq_50::NLQ_value_synonym,,,,,,,,,,,,,,,,,,,,,,,,NLQ_value_synonym,0.54,0.38,0.16000000000000003,50,,,,,,,,,,,,,,,"{""config"":{""top_k"":3,""top_n"":8},""row"":{""name"":""NLQ_value_synonym"",""count"":50,""pre_accuracy"":0.54,""post_accuracy"":0.38,""drop"":0.16000000000000003,""pre_correct"":27,""post_correct"":19}}"
baseline_json,baseline/results/extra_decomposition_cerebras_5.json,extra_decomposition,extra_decomposition_cerebras_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,-0.4,,,,,"{""config"":{""limit"":5,""seed"":42,""top_k_tables"":3,""top_n_columns"":8,""with_self_correction"":false,""model"":""llama3.1-8b"",""retrieval_mode"":""lexical""},""summary"":{""count"":5,""baseline_exec_accuracy"":0.6,""decomposition_exec_accuracy"":0.2,""delta"":-0.4}}"
baseline_json,baseline/results/extra_decomposition_cerebras_5_sc.json,extra_decomposition,extra_decomposition_cerebras_5_sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,-0.4,,,,,"{""config"":{""limit"":5,""seed"":42,""top_k_tables"":3,""top_n_columns"":8,""with_self_correction"":true,""model"":""llama3.1-8b"",""retrieval_mode"":""lexical""},""summary"":{""count"":5,""baseline_exec_accuracy"":0.6,""decomposition_exec_accuracy"":0.2,""delta"":-0.4}}"
baseline_json,baseline/results/extra_decomposition_cerebras_80.json,extra_decomposition,extra_decomposition_cerebras_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,0.4625,-0.0625,,,,,"{""config"":{""limit"":80,""seed"":42,""top_k_tables"":3,""top_n_columns"":8,""with_self_correction"":false,""model"":""llama3.1-8b"",""retrieval_mode"":""lexical""},""summary"":{""count"":80,""baseline_exec_accuracy"":0.525,""decomposition_exec_accuracy"":0.4625,""delta"":-0.0625}}"
baseline_json,baseline/results/extra_schema_context_cerebras_10.json,extra_schema_context,extra_schema_context_cerebras_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.7,0.7,,"{""config"":{""limit"":10,""seed"":42,""top_k_tables"":3,""top_n_columns"":8,""broader_top_k"":4,""with_self_correction"":false,""model"":""llama3.1-8b""},""summary"":{""current_rag"":0.4,""broader_rag"":0.7,""full_schema"":0.7}}"
baseline_json,baseline/results/extra_schema_context_cerebras_80.json,extra_schema_context,extra_schema_context_cerebras_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,0.5625,0.6,,"{""config"":{""limit"":80,""seed"":42,""top_k_tables"":3,""top_n_columns"":8,""broader_top_k"":4,""with_self_correction"":false,""model"":""llama3.1-8b""},""summary"":{""current_rag"":0.525,""broader_rag"":0.5625,""full_schema"":0.6}}"
