gold_db,pred_db,top1_score,top2_score,correct
e_commerce,customers_and_orders,0.4208,0.3478,0
e_commerce,customers_and_orders,0.3396,0.3013,0
e_commerce,customers_and_orders,0.3917,0.3302,0
e_commerce,customers_and_orders,0.3390,0.3237,0
e_commerce,e_commerce,0.4321,0.4085,1
e_commerce,e_commerce,0.4804,0.4519,1
e_commerce,customers_and_orders,0.3810,0.3624,0
e_commerce,customers_and_orders,0.2556,0.2222,0
e_commerce,e_commerce,0.4399,0.3667,1
e_commerce,e_commerce,0.4022,0.3162,1
e_commerce,e_commerce,0.2890,0.2515,1
e_commerce,e_commerce,0.3229,0.2548,1
e_commerce,e_commerce,0.2719,0.1963,1
e_commerce,e_commerce,0.3636,0.3385,1
e_commerce,e_commerce,0.2279,0.2166,1
e_commerce,customers_and_orders,0.2357,0.2343,0
e_commerce,customers_and_orders,0.3365,0.2655,0
e_commerce,customers_and_orders,0.4146,0.3443,0
e_commerce,e_commerce,0.2695,0.2194,1
e_commerce,e_commerce,0.3269,0.2441,1
bbc_channels,bbc_channels,0.5094,0.3171,1
bbc_channels,bbc_channels,0.5068,0.3164,1
bbc_channels,bbc_channels,0.3640,0.3214,1
bbc_channels,bbc_channels,0.5582,0.4026,1
bbc_channels,bbc_channels,0.4067,0.2464,1
vehicle_driver,vehicle_driver,0.4419,0.2678,1
vehicle_driver,vehicle_driver,0.5505,0.3496,1
vehicle_driver,vehicle_driver,0.3580,0.2853,1
vehicle_driver,vehicle_driver,0.4255,0.3750,1
customers_and_orders,vehicle_driver,0.2892,0.2501,0
customers_and_orders,vehicle_driver,0.2343,0.2267,0
customers_and_orders,customers_and_orders,0.4695,0.3842,1
customers_and_orders,customers_and_orders,0.4546,0.3694,1
customers_and_orders,e_commerce,0.3419,0.3409,0
customers_and_orders,customers_and_orders,0.3662,0.3284,1
customers_and_orders,e_commerce,0.4314,0.3619,0
customers_and_orders,customers_and_orders,0.4046,0.3829,1
region_building,region_building,0.4834,0.2476,1
region_building,region_building,0.4822,0.2575,1
government_shift,vehicle_rent,0.3898,0.3738,0
government_shift,customers_and_orders,0.3919,0.3258,0
government_shift,customers_and_orders,0.3720,0.3487,0
government_shift,government_shift,0.4167,0.3579,1
government_shift,customers_and_orders,0.3365,0.3347,0
government_shift,customers_and_orders,0.3682,0.3552,0
government_shift,government_shift,0.3903,0.3422,1
government_shift,government_shift,0.3983,0.3074,1
government_shift,government_shift,0.3468,0.3181,1
government_shift,government_shift,0.3717,0.2811,1
vehicle_rent,vehicle_driver,0.4603,0.2589,0
vehicle_rent,vehicle_driver,0.3736,0.2466,0
vehicle_rent,vehicle_rent,0.5872,0.4901,1
vehicle_rent,vehicle_rent,0.5746,0.4326,1
vehicle_rent,vehicle_rent,0.5485,0.2835,1
vehicle_rent,vehicle_rent,0.5127,0.3076,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.4639,0.2597,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.4251,0.2149,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.2499,0.2246,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.2570,0.2146,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3087,0.2139,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3378,0.2281,1
cre_Students_Information_Systems,vehicle_driver,0.2581,0.2531,0
cre_Students_Information_Systems,cre_Students_Information_Systems,0.2548,0.2316,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3711,0.2362,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3543,0.2874,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.4344,0.2804,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.4152,0.2589,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.2780,0.2493,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3246,0.2469,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.2101,0.1798,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.2567,0.2333,1
cre_Students_Information_Systems,vehicle_rent,0.2559,0.2203,0
cre_Students_Information_Systems,cre_Students_Information_Systems,0.2599,0.2326,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3213,0.1815,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3745,0.2258,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3257,0.1899,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.3705,0.2175,1
cre_Students_Information_Systems,cre_Students_Information_Systems,0.4297,0.4070,1
cre_Students_Information_Systems,customers_and_orders,0.3854,0.3415,0
