pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
18,80,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
19,81,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
20,82,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Shipment_Items,SELECT COUNT(*) FROM Shipment_Items
23,101,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT P.product_id) FROM Products AS P JOIN Shipments AS S ON P.product_id = S.order_id,SELECT COUNT(DISTINCT P.product_id) FROM Products AS P JOIN Shipments AS S ON P.product_id = S.order_id
24,102,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
28,123,bbc_channels,bbc_channels,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,bbc_channels,bbc_channels,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Title FROM program ORDER BY Start_Year DESC,SELECT Title FROM program ORDER BY Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM radio,SELECT count(*) FROM radio
32,137,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Transmitter FROM radio ORDER BY ERP_kW ASC,SELECT Transmitter FROM radio ORDER BY ERP_kW ASC
33,139,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Station_name FROM city_channel WHERE Affiliation != 'ABC',SELECT Station_name FROM city_channel WHERE Affiliation != 'ABC'
34,142,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(CAST(ERP_kW AS REAL)) FROM radio,SELECT AVG(CAST(ERP_kW AS REAL)) FROM radio
35,145,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING count(*) > 3,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING count(*) > 3
36,153,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Name FROM driver WHERE Citizenship = 'United States',SELECT Name FROM driver WHERE Citizenship = 'United States'
37,154,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Name FROM driver WHERE Citizenship = 'United States',SELECT Name FROM driver WHERE Citizenship = 'United States'
38,167,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM driver WHERE Racing_Series = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series = 'NASCAR'
39,168,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT driver.Driver_ID) FROM driver WHERE driver.Racing_Series = 'NASCAR',SELECT COUNT(DISTINCT driver.Driver_ID) FROM driver WHERE driver.Racing_Series = 'NASCAR'
40,169,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(Top_Speed) FROM vehicle,SELECT AVG(Top_Speed) FROM vehicle
41,170,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(Top_Speed) FROM vehicle,SELECT AVG(Top_Speed) FROM vehicle
42,185,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Name FROM driver ORDER BY Name ASC,SELECT Name FROM driver ORDER BY Name ASC
43,186,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Name FROM driver ORDER BY Name ASC,SELECT Name FROM driver ORDER BY Name ASC
44,193,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
45,194,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
46,195,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC
47,196,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC
48,203,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT DISTINCT T1.Student_Answer_Text FROM Student_Assessments AS T1 WHERE T1.Assessment = ""Normal""","SELECT DISTINCT T1.Student_Answer_Text FROM Student_Assessments AS T1 WHERE T1.Assessment = ""Normal"""
49,204,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT T1.Student_Answer_Text FROM Student_Assessments AS T1 WHERE T1.Assessment = 'Normal',SELECT DISTINCT T1.Student_Answer_Text FROM Student_Assessments AS T1 WHERE T1.Assessment = 'Normal'
50,205,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT Comments) FROM Student_Answers,SELECT COUNT(DISTINCT Comments) FROM Student_Answers
51,206,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT Comments) FROM Student_Answers WHERE Comments IS NOT NULL,SELECT COUNT(DISTINCT Comments) FROM Student_Answers WHERE Comments IS NOT NULL
52,219,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Last_Name FROM Students WHERE Gender_MFU != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
53,220,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Last_Name FROM Students WHERE Gender_MFU != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
54,229,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING COUNT(*) >= 3,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING COUNT(*) >= 3
55,230,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING COUNT(*) >= 3,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING COUNT(*) >= 3
56,231,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT * FROM Students,SELECT * FROM Students
57,232,online_exams,online_exams,,,False,0,True,,claude-haiku-4-5-20251001,SELECT * FROM Students,SELECT * FROM Students
58,233,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Addresses,SELECT COUNT(*) FROM Addresses
59,234,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM Addresses,SELECT count(*) FROM Addresses
60,237,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Products,SELECT COUNT(*) FROM Products
61,238,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM Products,SELECT count(*) FROM Products
62,241,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_price FROM Products WHERE product_name = 'Monitor',SELECT product_price FROM Products WHERE product_name = 'Monitor'
63,242,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_price FROM Products WHERE product_name = 'Monitor',SELECT product_price FROM Products WHERE product_name = 'Monitor'
64,245,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT avg(product_price) FROM Products WHERE product_type_code = ""Clothes""","SELECT avg(product_price) FROM Products WHERE product_type_code = ""Clothes"""
65,246,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(product_price) FROM Products WHERE product_type_code = 'Clothes',SELECT AVG(product_price) FROM Products WHERE product_type_code = 'Clothes'
66,247,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT COUNT(*) FROM Products WHERE product_type_code = ""hardware""","SELECT COUNT(*) FROM Products WHERE product_type_code = ""hardware"""
67,248,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Products WHERE product_type_code = 'Hardware',SELECT COUNT(*) FROM Products WHERE product_type_code = 'Hardware'
68,257,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_name FROM Products ORDER BY product_price DESC,SELECT product_name FROM Products ORDER BY product_price DESC
69,258,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_name FROM Products ORDER BY product_price DESC,SELECT product_name FROM Products ORDER BY product_price DESC
70,265,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(*) >= 2,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(*) >= 2
71,266,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING COUNT(*) >= 2,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING COUNT(*) >= 2
72,269,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Customers,SELECT COUNT(*) FROM Customers
73,270,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Customers,SELECT COUNT(*) FROM Customers
74,283,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT payment_method_code FROM Customers,SELECT DISTINCT payment_method_code FROM Customers
75,284,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT payment_method_code FROM Customers,SELECT DISTINCT payment_method_code FROM Customers
76,289,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Customer_Orders,SELECT COUNT(*) FROM Customer_Orders
77,290,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM Customer_Orders,SELECT COUNT(*) FROM Customer_Orders
78,309,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Customer_Orders AS T2 ON T1.customer_id = T2.customer_id,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Customer_Orders AS T2 ON T1.customer_id = T2.customer_id
79,310,customers_and_orders,customers_and_orders,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT customer_id) FROM Customer_Orders,SELECT COUNT(DISTINCT customer_id) FROM Customer_Orders
80,4,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Manager, Captain FROM club","SELECT Manager, Captain FROM club"
81,5,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Manager, Captain FROM club","SELECT Manager, Captain FROM club"
82,10,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
83,11,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
84,16,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT player.Name, club.Name FROM player JOIN club ON player.Club_ID = club.Club_ID","SELECT player.Name, club.Name FROM player JOIN club ON player.Club_ID = club.Club_ID"
85,17,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT player.Name, club.Name FROM player JOIN club ON player.Club_ID = club.Club_ID","SELECT player.Name, club.Name FROM player JOIN club ON player.Club_ID = club.Club_ID"
86,18,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT c.Name FROM club c JOIN player p ON c.Club_ID = p.Club_ID WHERE p.Wins_count > 2,SELECT DISTINCT c.Name FROM club c JOIN player p ON c.Club_ID = p.Club_ID WHERE p.Wins_count > 2
87,19,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT c.Name FROM club AS c JOIN player AS p ON c.Club_ID = p.Club_ID WHERE p.Wins_count > 2,SELECT DISTINCT c.Name FROM club AS c JOIN player AS p ON c.Club_ID = p.Club_ID WHERE p.Wins_count > 2
88,20,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT p.Name FROM player AS p JOIN club AS c ON p.Club_ID = c.Club_ID WHERE c.Manager = ""Sam Allardyce""","SELECT p.Name FROM player AS p JOIN club AS c ON p.Club_ID = c.Club_ID WHERE c.Manager = ""Sam Allardyce"""
89,21,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manager = ""Sam Allardyce""","SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manager = ""Sam Allardyce"""
90,24,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Manufacturer, count(*) FROM club GROUP BY Manufacturer","SELECT Manufacturer, count(*) FROM club GROUP BY Manufacturer"
91,25,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Manufacturer, COUNT(*) as club_count FROM club GROUP BY Manufacturer","SELECT Manufacturer, COUNT(*) as club_count FROM club GROUP BY Manufacturer"
92,38,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Earnings FROM player WHERE Country = ""Australia"" OR Country = ""Zimbabwe""","SELECT Earnings FROM player WHERE Country = ""Australia"" OR Country = ""Zimbabwe"""
93,39,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Earnings FROM player WHERE Country = ""Australia"" OR Country = ""Zimbabwe""","SELECT Earnings FROM player WHERE Country = ""Australia"" OR Country = ""Zimbabwe"""
94,42,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT o.order_id, o.order_status_code, COUNT(oi.product_id) AS number_of_products FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY o.order_id, o.order_status_code","SELECT o.order_id, o.order_status_code, COUNT(oi.product_id) AS number_of_products FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY o.order_id, o.order_status_code"
95,43,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Orders.order_id, Orders.order_status_code, COUNT(Order_Items.product_id) AS product_count FROM Orders JOIN Order_Items ON Orders.order_id = Order_Items.order_id GROUP BY Orders.order_id, Orders.order_status_code","SELECT Orders.order_id, Orders.order_status_code, COUNT(Order_Items.product_id) AS product_count FROM Orders JOIN Order_Items ON Orders.order_id = Order_Items.order_id GROUP BY Orders.order_id, Orders.order_status_code"
96,50,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT O.order_id, O.date_order_placed FROM Orders AS O JOIN Order_Items AS OI ON O.order_id = OI.order_id GROUP BY O.order_id, O.date_order_placed HAVING COUNT(OI.order_item_id) >= 2","SELECT O.order_id, O.date_order_placed FROM Orders AS O JOIN Order_Items AS OI ON O.order_id = OI.order_id GROUP BY O.order_id, O.date_order_placed HAVING COUNT(OI.order_item_id) >= 2"
97,51,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT o.order_id, o.date_order_placed FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY o.order_id, o.date_order_placed HAVING count(*) >= 2","SELECT o.order_id, o.date_order_placed FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY o.order_id, o.date_order_placed HAVING count(*) >= 2"
98,60,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT T1.gender_code, count(T2.order_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.gender_code","SELECT T1.gender_code, count(T2.order_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.gender_code"
99,61,e_commerce,e_commerce,,,False,1,True,,claude-haiku-4-5-20251001,"SELECT customer_id, COUNT(order_id) as order_count FROM Orders GROUP BY customer_id","SELECT customer_id, COUNT(order_id) as order_count FROM Orders GROUP BY customer_id"
100,62,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT c.customer_first_name, c.customer_middle_initial, c.customer_last_name, cpm.payment_method_code FROM Customers AS c JOIN Customer_Payment_Methods AS cpm ON c.customer_id = cpm.customer_id","SELECT c.customer_first_name, c.customer_middle_initial, c.customer_last_name, cpm.payment_method_code FROM Customers AS c JOIN Customer_Payment_Methods AS cpm ON c.customer_id = cpm.customer_id"
101,63,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT c.customer_first_name, c.customer_middle_initial, c.customer_last_name, cpm.payment_method_code FROM Customers c JOIN Customer_Payment_Methods cpm ON c.customer_id = cpm.customer_id","SELECT c.customer_first_name, c.customer_middle_initial, c.customer_last_name, cpm.payment_method_code FROM Customers c JOIN Customer_Payment_Methods cpm ON c.customer_id = cpm.customer_id"
102,64,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Invoices.invoice_status_code, Invoices.invoice_date, Shipments.shipment_date FROM Invoices JOIN Shipments ON Invoices.invoice_number = Shipments.invoice_number","SELECT Invoices.invoice_status_code, Invoices.invoice_date, Shipments.shipment_date FROM Invoices JOIN Shipments ON Invoices.invoice_number = Shipments.invoice_number"
103,65,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT DISTINCT i.invoice_status_code, i.invoice_date, s.shipment_date FROM Invoices i LEFT JOIN Shipments s ON i.invoice_number = s.invoice_number","SELECT DISTINCT i.invoice_status_code, i.invoice_date, s.shipment_date FROM Invoices i LEFT JOIN Shipments s ON i.invoice_number = s.invoice_number"
104,68,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT Order_Items.order_item_status_code, Shipments.shipment_tracking_number FROM Order_Items JOIN Shipment_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id JOIN Shipments ON Shipment_Items.shipment_id = Shipments.shipment_id","SELECT Order_Items.order_item_status_code, Shipments.shipment_tracking_number FROM Order_Items JOIN Shipment_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id JOIN Shipments ON Shipment_Items.shipment_id = Shipments.shipment_id"
105,69,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT DISTINCT oi.order_item_status_code, s.shipment_tracking_number FROM Order_Items oi JOIN Shipment_Items si ON oi.order_item_id = si.order_item_id JOIN Shipments s ON si.shipment_id = s.shipment_id WHERE oi.order_item_status_code IS NOT NULL AND s.shipment_tracking_number IS NOT NULL","SELECT DISTINCT oi.order_item_status_code, s.shipment_tracking_number FROM Order_Items oi JOIN Shipment_Items si ON oi.order_item_id = si.order_item_id JOIN Shipments s ON si.shipment_id = s.shipment_id WHERE oi.order_item_status_code IS NOT NULL AND s.shipment_tracking_number IS NOT NULL"
106,84,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT login_name, login_password FROM Customers WHERE phone_number LIKE '+12%'","SELECT login_name, login_password FROM Customers WHERE phone_number LIKE '+12%'"
107,85,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT customer_first_name, login_password FROM Customers WHERE phone_number LIKE '+12%'","SELECT customer_first_name, login_password FROM Customers WHERE phone_number LIKE '+12%'"
108,86,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_size FROM Products WHERE product_name LIKE '%Dell%',SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
109,87,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT product_size FROM Products WHERE product_name LIKE '%Dell%',SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
110,94,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT order_status_code, date_order_placed FROM Orders","SELECT order_status_code, date_order_placed FROM Orders"
111,95,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT order_status_code, date_order_placed FROM Orders","SELECT order_status_code, date_order_placed FROM Orders"
112,96,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT address_line_1, town_city, county FROM Customers WHERE county = 'USA'","SELECT address_line_1, town_city, county FROM Customers WHERE county = 'USA'"
113,97,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT address_line_1, town_city, county FROM Customers WHERE county = 'United States'","SELECT address_line_1, town_city, county FROM Customers WHERE county = 'United States'"
114,112,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT T1.product_id, T1.product_description FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_id HAVING COUNT(T2.order_item_id) > 3","SELECT T1.product_id, T1.product_description FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_id HAVING COUNT(T2.order_item_id) > 3"
115,113,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT P.product_id, P.product_description FROM Products AS P JOIN Order_Items AS OI ON P.product_id = OI.product_id GROUP BY P.product_id HAVING COUNT(*) > 3","SELECT P.product_id, P.product_description FROM Products AS P JOIN Order_Items AS OI ON P.product_id = OI.product_id GROUP BY P.product_id HAVING COUNT(*) > 3"
