pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
12,30,,wrong_column,True,SELECT club.Name FROM club WHERE club.Club_ID IN ( SELECT player.Club_ID FROM player GROUP BY player.Club_ID HAVING COUNT(player.Club_ID) > 1 ),SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,,missing_clause,True,SELECT player.Name FROM player WHERE player.Earnings > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,,wrong_column,True,SELECT COUNT(DISTINCT player.Name) FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID,SELECT COUNT (DISTINCT Country) FROM player
15,37,,wrong_column,True,SELECT COUNT(DISTINCT player.Name) FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID,SELECT COUNT (DISTINCT Country) FROM player
16,78,,wrong_table,True,SELECT COUNT(Customers.customer_id) FROM Customers,SELECT count(DISTINCT customer_id) FROM Orders
17,79,,other,True,SELECT count(DISTINCT Customers.customer_id) FROM Customers INNER JOIN Orders ON Customers.customer_id = Orders.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
18,80,,missing_clause,True,SELECT COUNT(Order_Items.order_id) FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,,other,True,SELECT DISTINCT order_item_status_code FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,,wrong_table,True,SELECT COUNT(customer_id) FROM Orders,SELECT count(*) FROM Shipment_Items
23,101,,wrong_table,True,SELECT COUNT(product_id) FROM Products,SELECT count(*) FROM Shipment_Items
24,102,,other,True,SELECT avg(product_price) FROM Products,SELECT avg(product_price) FROM Products
25,103,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
26,104,,wrong_table,True,SELECT avg(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
27,105,,wrong_table,True,SELECT avg(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
28,123,,wrong_table,True,SELECT COUNT(DISTINCT Name) FROM director,SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,,other,True,SELECT program.Title FROM program ORDER BY program.Start_Year DESC,SELECT title FROM program ORDER BY start_year DESC
30,133,,wrong_column,True,SELECT channel.Name FROM channel AS channel INNER JOIN program AS program ON channel.Channel_ID = program.Channel_ID INNER JOIN director AS director ON program.Director_ID = director.Director_ID WHERE,SELECT name FROM director WHERE age BETWEEN 30 AND 60
31,136,,wrong_column,True,SELECT count(*) FROM radio WHERE Transmitter = 'radio',SELECT count(*) FROM radio
32,137,,wrong_column,True,SELECT city_channel_radio.Is_online FROM radio AS radio JOIN city_channel_radio AS city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY city_channel_radio.Is_online ASC,select transmitter from radio order by erp_kw asc
33,139,,exec_runtime_error,False,SELECT Transmitter FROM radio WHERE 2FM_MHz != 'ABC' AND Transmitter NOT LIKE '%2FM_MHz%' ESCAPE '',"SELECT Station_name FROM city_channel WHERE Affiliation != ""ABC"""
34,142,,wrong_column,True,SELECT AVG(Is_online) FROM city_channel_radio WHERE Radio_ID IN (SELECT Radio_ID FROM radio WHERE Transmitter = 'radio'),SELECT avg(ERP_kW) FROM radio
35,145,,wrong_column,True,SELECT city_channel_radio.Radio_ID FROM city_channel AS city_channel INNER JOIN city_channel_radio AS city_channel_radio ON city_channel.ID = city_channel_radio.City_channel_ID GROUP BY city_channel_r,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(*)  >  3
36,153,,wrong_column,True,SELECT driver.Name FROM vehicle AS vehicle JOIN vehicle_driver AS vehicle_driver ON vehicle.Vehicle_ID = vehicle_driver.Vehicle_ID JOIN driver AS driver ON vehicle_driver.Driver_ID = driver.Driver_ID ,SELECT name FROM driver WHERE citizenship  =  'United States'
37,154,,wrong_column,True,SELECT driver.Name FROM vehicle_driver AS vehicle JOIN driver ON vehicle.Vehicle_ID = driver.Driver_ID WHERE driver.Name = 'United States',SELECT name FROM driver WHERE citizenship  =  'United States'
38,167,,wrong_table,True,SELECT count(*) FROM vehicle WHERE Model = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
39,168,,wrong_table,True,SELECT COUNT(*) FROM vehicle WHERE Model = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
40,169,,wrong_column,True,SELECT AVG(Power) FROM vehicle,SELECT avg(top_speed) FROM vehicle
41,170,,wrong_column,True,SELECT AVG(Power) FROM vehicle,SELECT avg(top_speed) FROM vehicle
42,185,,wrong_table,True,SELECT Model FROM vehicle ORDER BY Model ASC,SELECT name FROM driver ORDER BY name
43,186,,missing_clause,True,SELECT driver.Name FROM vehicle_driver AS vehicle JOIN driver ON vehicle.Vehicle_ID = driver.Driver_ID,SELECT name FROM driver ORDER BY name
44,193,,other,True,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
45,194,,other,True,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
46,195,,other,True,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,select distinct subject_code from exams order by subject_code asc
47,196,,missing_clause,True,SELECT DISTINCT Subject_Code FROM Exams,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code
48,203,,wrong_table,True,"SELECT DISTINCT Student_Assessments.Satisfactory_YN FROM Student_Assessments WHERE Student_Assessments.Student_Answer_Text = ""Normal""","SELECT DISTINCT Student_Answer_Text FROM Student_Answers WHERE Comments  =  ""Normal"""
49,204,,wrong_table,True,SELECT DISTINCT Student_Assessments.Satisfactory_YN FROM Student_Assessments WHERE Student_Assessments.Student_Answer_Text = 'Normal',"SELECT DISTINCT Student_Answer_Text FROM Student_Answers WHERE Comments  =  ""Normal"""
50,205,,wrong_column,True,SELECT count(DISTINCT Student_Answers.Comments) FROM Students AS Students JOIN Student_Answers AS Student_Answers ON Students.Student_ID = Student_Answers.Student_ID,SELECT count(DISTINCT Comments) FROM Student_Answers
51,206,,other,True,SELECT COUNT(DISTINCT Comments) FROM Student_Answers,SELECT count(DISTINCT Comments) FROM Student_Answers
52,219,,wrong_column,True,"SELECT First_Name FROM Students WHERE Middle_Name != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
53,220,,wrong_column,True,"SELECT First_Name FROM Students WHERE Middle_Name != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
54,229,,wrong_column,True,SELECT Questions_in_Exams.Question_ID FROM Questions_in_Exams JOIN Questions ON Questions_in_Exams.Question_ID = Questions.Question_ID GROUP BY Questions_in_Exams.Question_ID HAVING COUNT(*) >= 3,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING count(*)  >=  3
55,230,,wrong_column,True,SELECT Questions.Type_of_Question_Code FROM Questions AS Questions JOIN Questions_in_Exams AS Questions_in_Exams ON Questions.Question_ID = Questions_in_Exams.Question_ID GROUP BY Questions_in_Exams.Q,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING count(*)  >=  3
56,231,,other,True,SELECT * FROM Students,SELECT * FROM Students
57,232,,wrong_column,True,"SELECT Students.Student_ID, Students.First_Name, Students.Middle_Name, Students.Last_Name, Students.Gender_MFU, Students.Student_Address FROM Students",SELECT * FROM Students
58,233,,wrong_table,True,SELECT COUNT(*) FROM Customers,SELECT count(*) FROM Addresses
59,234,,wrong_table,True,SELECT COUNT(customer_id) FROM Customers,SELECT count(*) FROM Addresses
60,237,,wrong_column,True,SELECT count(product_id) FROM Products,SELECT count(*) FROM Products
61,238,,wrong_column,True,SELECT COUNT(product_id) FROM Products,SELECT count(*) FROM Products
62,241,,wrong_column,True,SELECT product_price FROM Products WHERE product_type_code = 'Monitor',"SELECT product_price FROM Products WHERE product_name  =  ""Monitor"""
63,242,,wrong_column,True,SELECT product_price FROM Products WHERE product_type_code = 'Monitor',"SELECT product_price FROM Products WHERE product_name  =  ""Monitor"""
64,245,,other,True,"SELECT avg(product_price) FROM Products WHERE product_type_code = ""Clothes""","SELECT avg(product_price) FROM Products WHERE product_type_code  =  ""Clothes"""
65,246,,other,True,SELECT AVG(product_price) FROM Products WHERE product_type_code = 'Clothes',"SELECT avg(product_price) FROM Products WHERE product_type_code  =  ""Clothes"""
66,247,,wrong_column,True,SELECT COUNT(*) FROM Products,"SELECT count(*) FROM Products WHERE product_type_code  =  ""Hardware"""
67,248,,wrong_column,True,"SELECT COUNT(product_id) FROM Products WHERE product_type_code = ""Hardware""","SELECT count(*) FROM Products WHERE product_type_code  =  ""Hardware"""
68,257,,wrong_table,True,SELECT Customer_Orders.order_status_code FROM Order_Items AS Products JOIN Customer_Orders ON Products.product_id = Customer_Orders.order_id ORDER BY Customer_Orders.order_status_code DESC,SELECT product_name FROM Products ORDER BY product_price DESC
69,258,,wrong_column,True,SELECT product_type_code FROM Products ORDER BY product_price DESC,SELECT product_name FROM Products ORDER BY product_price DESC
70,265,,other,True,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(*) >= 2,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(*)  >=  2
71,266,,wrong_column,True,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING COUNT(product_id) > 1,SELECT product_type_code FROM Products GROUP BY product_type_code HAVING count(*)  >=  2
72,269,,wrong_column,True,SELECT COUNT(customer_id) FROM Customers,SELECT count(*) FROM Customers
73,270,,wrong_column,True,SELECT COUNT(customer_id) FROM Customers,SELECT count(*) FROM Customers
74,283,,other,True,SELECT DISTINCT payment_method_code FROM Customers,SELECT DISTINCT payment_method_code FROM Customers
75,284,,wrong_column,True,SELECT DISTINCT customer_address FROM Customers,SELECT DISTINCT payment_method_code FROM Customers
76,289,,wrong_table,True,SELECT COUNT(customer_id) FROM Customers,SELECT count(*) FROM Customer_orders
77,290,,wrong_column,True,SELECT COUNT(*) FROM Customers WHERE customer_id IN (SELECT customer_id FROM Customer_Orders),SELECT count(*) FROM Customer_orders
78,309,,missing_clause,True,SELECT COUNT(Customers.customer_id) FROM Customers AS Customers JOIN Customer_Orders AS Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id,SELECT count(DISTINCT customer_id) FROM Customer_orders
79,310,,other,True,SELECT COUNT(DISTINCT Customer_Orders.customer_id) FROM Customer_Orders,SELECT count(DISTINCT customer_id) FROM Customer_orders
80,4,,wrong_column,True,"SELECT player.Name, player.Country FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID WHERE club.Name = 'manager' OR club.Name = 'captain'","SELECT Manager ,  Captain FROM club"
81,5,,wrong_column,True,"SELECT club.Name, club.Manager FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID WHERE player.Name = 'Manager' INTERSECT SELECT club.Name, club.Manager FROM club AS club JOIN pl","SELECT Manager ,  Captain FROM club"
82,10,,missing_clause,True,SELECT player.Name FROM player WHERE player.Earnings = ( SELECT MAX(Earnings) FROM player ),SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
83,11,,wrong_column,True,SELECT player.Name FROM player INNER JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Earnings DESC LIMIT 1,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
84,16,,wrong_column,True,"SELECT club.Name , club.Manager FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID","SELECT T2.Name ,  T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID"
85,17,,wrong_column,True,"SELECT player.Name, player.Country FROM player INNER JOIN club ON player.Club_ID = club.Club_ID","SELECT T2.Name ,  T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID"
86,18,,wrong_table,True,SELECT player.Name FROM player WHERE player.Earnings > 2,SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Wins_count  >  2
87,19,,extra_clause,True,SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID GROUP BY player.Name HAVING COUNT(player.Club_ID) > 2,SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Wins_count  >  2
88,20,,wrong_column,True,"SELECT player.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID WHERE club.Manufacturer = ""Sam Allardyce""","SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce"""
89,21,,wrong_column,True,"SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manager = ""Sam Allardyce""","SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce"""
90,24,,wrong_column,True,"SELECT club.Name , count(*) FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID GROUP BY club.Name","SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer"
91,25,,wrong_table,True,"SELECT player.Name, COUNT(*) FROM player GROUP BY player.Name","SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer"
92,38,,wrong_column,True,"SELECT Earnings FROM player WHERE Name = ""Australia"" OR Name = ""Zimbabwe""","SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""
93,39,,wrong_column,True,"SELECT player.Name , player.Earnings FROM player WHERE player.Country = ""Australia"" OR player.Country = ""Zimbabwe""","SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""
94,42,,wrong_table,True,"SELECT Shipments.order_id , Shipments.invoice_number , Shipments.shipment_tracking_number FROM Shipments WHERE Shipments.order_id > 0","SELECT T1.order_id ,  T1.order_status_code ,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id"
95,43,,wrong_table,True,"SELECT Shipments.order_id, Shipments.invoice_number, Shipments.shipment_tracking_number, Shipments.shipment_date FROM Shipments JOIN Orders ON Shipments.order_id = Orders.order_id JOIN Invoices ON Shi","SELECT T1.order_id ,  T1.order_status_code ,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id"
96,50,,wrong_table,True,"SELECT Products.product_id, Products.product_name FROM Products AS Products JOIN Order_Items AS Order_Items ON Products.product_id = Order_Items.product_id JOIN Shipment_Items AS Shipment_Items ON Ord","SELECT T1.order_id ,  T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2"
97,51,,wrong_column,True,"SELECT Orders.order_id, Orders.date_order_placed FROM Orders INNER JOIN Order_Items ON Orders.order_id = Order_Items.order_id INNER JOIN Shipment_Items ON Shipment_Items.order_item_id = Order_Items.or","SELECT T1.order_id ,  T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2"
98,60,,wrong_column,True,"SELECT Customers.gender_code , count(*) FROM Customers AS Customers JOIN Orders AS Orders ON Customers.customer_id = Orders.customer_id GROUP BY Customers.gender_code","SELECT T1.gender_code ,  count(*) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.gender_code"
99,61,,wrong_table,True,"SELECT Order_Items.product_id, COUNT(*) FROM Order_Items JOIN Orders ON Order_Items.order_id = Orders.order_id GROUP BY Order_Items.product_id","SELECT T1.gender_code ,  count(*) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.gender_code"
100,62,,wrong_column,True,"SELECT Customers.gender_code, Customers.customer_first_name, Customers.customer_middle_initial, Customer_Payment_Methods.payment_method_code FROM Customers JOIN Customer_Payment_Methods ON Customers.c","SELECT T1.customer_first_name ,  T1.customer_middle_initial ,  T1.customer_last_name ,  T2.Payment_method_code FROM Customers AS T1 JOIN Customer_Payment_Methods AS T2 ON T1.customer_id  =  T2.custome"
101,63,,wrong_column,True,"SELECT Customers.gender_code , Customers.customer_first_name , Customers.customer_middle_initial , Customer_Payment_Methods.payment_method_code FROM Customers INNER JOIN Customer_Payment_Methods ON Cu","SELECT T1.customer_first_name ,  T1.customer_middle_initial ,  T1.customer_last_name ,  T2.Payment_method_code FROM Customers AS T1 JOIN Customer_Payment_Methods AS T2 ON T1.customer_id  =  T2.custome"
102,64,,wrong_table,True,"SELECT Shipments.shipment_tracking_number, Shipments.shipment_date, Orders.date_order_placed FROM Orders INNER JOIN Shipments ON Orders.order_id = Shipments.order_id","SELECT T1.invoice_status_code ,  T1.invoice_date ,  T2.shipment_date FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number"
103,65,,wrong_table,True,"SELECT Shipments.shipment_tracking_number, Shipments.shipment_date, Shipments.shipment_date FROM Shipments","SELECT T1.invoice_status_code ,  T1.invoice_date ,  T2.shipment_date FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number"
104,68,,wrong_table,True,"SELECT Order_Items.product_id, Orders.order_status_code FROM Order_Items INNER JOIN Orders ON Order_Items.order_id = Orders.order_id","SELECT T1.order_item_status_code ,  T3.shipment_tracking_number FROM Order_items AS T1 JOIN Shipment_Items AS T2 ON T1.order_item_id  =  T2.order_item_id JOIN Shipments AS T3 ON T2.shipment_id  =  T3."
105,69,,wrong_table,True,"SELECT Order_Items.order_item_status_code , Shipments.shipment_tracking_number FROM Shipments JOIN Order_Items ON Shipments.invoice_number = Order_Items.order_id WHERE Shipments.order_id = Order_Items","SELECT T1.order_item_status_code ,  T3.shipment_tracking_number FROM Order_items AS T1 JOIN Shipment_Items AS T2 ON T1.order_item_id  =  T2.order_item_id JOIN Shipments AS T3 ON T2.shipment_id  =  T3."
106,84,,wrong_column,True,"SELECT customer_first_name, login_password FROM Customers WHERE login_name LIKE '+12%'","SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'"
107,85,,wrong_column,True,"SELECT Customers.customer_first_name , Customers.customer_middle_initial FROM Customers AS Customers JOIN Orders AS Orders ON Customers.customer_id = Orders.customer_id WHERE Orders.order_status_code ","SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'"
108,86,,wrong_column,True,SELECT product_color FROM Products WHERE product_name LIKE '%Dell%',SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
109,87,,wrong_column,True,SELECT Order_Items.order_item_status_code FROM Products AS Products JOIN Order_Items ON Products.product_id = Order_Items.product_id WHERE Products.product_color LIKE '%Dell%',SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
110,94,,wrong_table,True,"SELECT Order_Items.order_item_status_code , Shipments.shipment_date FROM Shipments INNER JOIN Order_Items ON Shipments.order_id = Order_Items.order_id","SELECT order_status_code ,  date_order_placed FROM Orders"
111,95,,wrong_column,True,"SELECT Order_Items.product_id , Order_Items.order_item_status_code FROM Orders AS Orders JOIN Order_Items ON Orders.order_id = Order_Items.order_id","SELECT order_status_code ,  date_order_placed FROM Orders"
112,96,,wrong_column,True,"SELECT customer_first_name , email_address , address_line_1 FROM Customers","SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'"
113,97,,wrong_column,True,"SELECT customer_first_name, email_address, address_line_1 FROM Customers","SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'"
114,112,,missing_clause,True,"SELECT Products.product_id, Products.product_color FROM Products AS Products JOIN Order_Items AS Customer_Payment_Methods ON Products.product_id = Customer_Payment_Methods.product_id WHERE Customer_Pa","SELECT T1.product_id ,  T1.product_description FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id HAVING count(*)  >  3"
115,113,,wrong_column,True,"SELECT Products.product_id, Products.product_color FROM Products AS Products JOIN Order_Items AS Orders ON Orders.product_id = Products.product_id JOIN Shipment_Items AS Order_Items ON Order_Items.ord","SELECT T1.product_id ,  T1.product_description FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id HAVING count(*)  >  3"
116,114,,wrong_table,True,"SELECT Orders.order_status_code , Orders.order_id FROM Orders WHERE Orders.customer_id IN ( SELECT Order_Items.order_id FROM Order_Items GROUP BY Order_Items.order_id HAVING COUNT(*) >= 2 )","SELECT T1.invoice_date ,  T1.invoice_number FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number GROUP BY T1.invoice_number HAVING count(*)  >=  2"
117,115,,wrong_table,True,"SELECT Shipments.shipment_date, Shipments.shipment_id FROM Shipments INNER JOIN Order_Items ON Shipments.invoice_number = Order_Items.order_id INNER JOIN Shipment_Items ON Shipment_Items.shipment_id =","SELECT T1.invoice_date ,  T1.invoice_number FROM Invoices AS T1 JOIN Shipments AS T2 ON T1.invoice_number  =  T2.invoice_number GROUP BY T1.invoice_number HAVING count(*)  >=  2"
118,116,,wrong_column,True,"SELECT Shipments.shipment_tracking_number , Shipments.shipment_date FROM Shipments JOIN Shipment_Items ON Shipments.shipment_id = Shipment_Items.shipment_id","SELECT shipment_tracking_number ,  shipment_date FROM Shipments"
119,117,,wrong_column,True,"SELECT Order_Items.order_item_status_code , Shipments.shipment_date FROM Shipments JOIN Orders ON Shipments.order_id = Orders.order_id JOIN Order_Items ON Orders.order_id = Order_Items.order_id","SELECT shipment_tracking_number ,  shipment_date FROM Shipments"
120,121,,wrong_column,True,SELECT director.Name FROM program AS channel JOIN director ON channel.Director_ID = director.Director_ID ORDER BY channel.Start_Year DESC LIMIT 1,SELECT name FROM director ORDER BY age DESC LIMIT 1
121,122,,wrong_table,True,SELECT COUNT(Program_ID) FROM program WHERE Title LIKE '%bbc%',"SELECT count(*) FROM channel WHERE internet LIKE ""%bbc%"""
122,127,,wrong_column,True,SELECT director.Name FROM program AS channel JOIN director ON channel.Director_ID = director.Director_ID ORDER BY channel.Start_Year DESC LIMIT 1,SELECT title FROM program ORDER BY start_year DESC LIMIT 1
123,128,,missing_clause,True,"SELECT channel.Name, channel.Analogue_terrestrial_channel FROM channel AS channel JOIN program AS program ON program.Channel_ID = channel.Channel_ID WHERE program.Start_Year > 1","SELECT t1.name ,  t1.internet FROM channel AS t1 JOIN program AS t2 ON t1.channel_id  =  t2.channel_id GROUP BY t1.channel_id HAVING count(*)  >  1"
124,129,,wrong_table,True,"SELECT director.Name, COUNT(program.Program_ID) FROM program INNER JOIN director ON program.Director_ID = director.Director_ID GROUP BY director.Name","SELECT t1.name ,  count(*) FROM channel AS t1 JOIN program AS t2 ON t1.channel_id  =  t2.channel_id GROUP BY t1.channel_id"
125,131,,wrong_table,True,SELECT channel.Name FROM channel INNER JOIN program ON channel.Channel_ID = program.Channel_ID WHERE program.Title = 'Dracula',SELECT t2.name FROM program AS t1 JOIN director AS t2 ON t1.director_id  =  t2.director_id WHERE t1.title  =  'Dracula'
126,138,,wrong_column,True,"SELECT tv_show.tv_show_name, tv_show.Next_show_name FROM tv_show AS tv_show JOIN city_channel_tv_show AS city_channel_tv_show ON tv_show.tv_show_ID = city_channel_tv_show.tv_show_ID","SELECT tv_show_name ,  Original_Airdate FROM tv_show"
127,140,,wrong_column,True,SELECT Transmitter FROM radio WHERE RnaG_MHz > 150 OR RnaG_MHz < 30,SELECT Transmitter FROM radio WHERE ERP_kW  >  150 OR ERP_kW  <  30
128,141,,wrong_table,True,SELECT city_channel_radio.Radio_ID FROM city_channel_radio WHERE city_channel_radio.Is_online = ( SELECT MAX(Is_online) FROM city_channel_radio ),SELECT Transmitter FROM radio ORDER BY ERP_kW DESC LIMIT 1
129,143,,wrong_table,True,"SELECT tv_show.tv_show_name , COUNT(tv_show.tv_show_name) FROM tv_show JOIN city_channel_tv_show ON city_channel_tv_show.tv_show_ID = tv_show.tv_show_ID GROUP BY tv_show.tv_show_name","SELECT Affiliation ,  COUNT(*) FROM city_channel GROUP BY Affiliation"
130,146,,wrong_column,True,"SELECT city_channel_radio.Radio_ID, city_channel_tv_show.Is_free FROM city_channel AS city_channel INNER JOIN city_channel_radio ON city_channel.ID = city_channel_radio.City_channel_ID INNER JOIN city","SELECT City ,  Station_name FROM city_channel ORDER BY Station_name ASC"
131,147,,wrong_column,True,"SELECT radio.Transmitter, radio.Radio_MHz FROM radio INNER JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID INNER JOIN city_channel ON city_channel_radio.City_channel_ID = city_","SELECT T3.Transmitter ,  T2.City FROM city_channel_radio AS T1 JOIN city_channel AS T2 ON T1.City_channel_ID  =  T2.ID JOIN radio AS T3 ON T1.Radio_ID  =  T3.Radio_ID"
132,149,,wrong_column,True,"SELECT radio.Transmitter , COUNT(city_channel_tv_show.tv_show_ID) FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID JOIN city_channel_tv_show ON city_channel_radio.Cit","SELECT T2.Transmitter ,  COUNT(*) FROM city_channel_radio AS T1 JOIN radio AS T2 ON T1.Radio_ID  =  T2.Radio_ID GROUP BY T2.Transmitter"
